class_name,folder_name
Tower,tower
Toy,toy
Traffic light,traffic_light
Traffic sign,traffic_sign
Train,train
Training bench,training_bench
Treadmill,treadmill
Tree,tree
Tree house,tree_house
Tripod,tripod
Trombone,trombone
Trousers,trousers
Truck,truck
Trumpet,trumpet
Turkey,turkey
Turtle,turtle
Umbrella,umbrella
Unicycle,unicycle
Van,van
Vase,vase
Vegetable,vegetable
Vehicle,vehicle
Vehicle registration plate,vehicle_registration_plate
Violin,violin
Volleyball (Ball),volleyball_ball
Waffle,waffle
Waffle iron,waffle_iron
Wall clock,wall_clock
Wardrobe,wardrobe
Washing machine,washing_machine
Waste container,waste_container
Watch,watch
Watercraft,watercraft
Watermelon,watermelon
Weapon,weapon
Whale,whale
Wheel,wheel
Wheelchair,wheelchair
Whisk,whisk
Whiteboard,whiteboard
Willow,willow
Window,window
Window blind,window_blind
Wine,wine
Wine glass,wine_glass
Wine rack,wine_rack
Winter melon,winter_melon
Wok,wok
Woman,woman
Wood-burning stove,wood_burning_stove
Woodpecker,woodpecker
Worm,worm
Wrench,wrench
Zebra,zebra
Zucchini,zucchini
